id,deal_name,customer_code,serial_no,nature_of_work,last_executed_month,execution_status,data_delivery_date,date_of_po,document_type,start_date,end_date,kam_code,sector,type_of_work,software_platform,last_invoice_date,invoice_no,amount_excl_gst,amount_incl_gst,billed_excl_gst,billed_incl_gst,collected_incl_gst,to_be_billed_excl_gst,to_be_billed_incl_gst,amount_receivable,ar_priority,invoice_status,actual_billing_month,wo_status,caveats
SDPLDEAL-151,Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,,Completed,2025-12-17,2025-11-06,Purchase Order,2025-11-10,2025-12-01,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,SDPL/FY25-26/442,339130.0,400173.4,339130.0,400173.4,400173.4,0.0,0.0,0.0,Normal,Fully Billed,,Closed,[]
SDPLDEAL-152,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,,Completed,2026-01-09,2025-11-04,Email Confirmation,2025-11-07,2025-11-28,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968.0,349242.24,0.0,0.0,0.0,295968.0,349242.24,0.0,Normal,Partially Billed,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-153,Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,,Completed,,2025-04-01,Purchase Order,2025-04-01,2025-04-10,OWNER_003,Renewables,Others,NONE,2025-03-31,SDPL/FY24-25/577,365779.452,431619.7534,365779.452,431619.7534,431620.0,0.0,0.0,-0.24664,Normal,Fully Billed,,Closed,[]
SDPLDEAL-154,Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,,Ongoing,,2025-11-10,Purchase Order,2025-11-13,2025-12-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",NONE,,,1346654.4,1589052.192,0.0,0.0,0.0,1346654.4,1589052.192,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-155,Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,,Ongoing,,2025-11-12,Purchase Order,2025-11-13,2026-01-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,,,9089917.2,10726102.3,0.0,0.0,0.0,9089917.2,10726102.3,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-156,Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,,Not Started,,2025-10-16,LOA/LOI,2025-12-01,2025-12-31,OWNER_006,Mining,"LiDAR Survey: LiDAR, Volumetric survey",SPECTRA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Fully Billed,,Open,['Zero amount work order']
SDPLDEAL-157,Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,,Ongoing,,2025-11-14,Purchase Order,2025-11-14,2025-11-14,OWNER_005,Renewables,Others,SPECTRA,2025-11-19,SDPL/FY25-26/549,277470.0,327414.6,277470.0,327414.6,321865.2,0.0,0.0,5549.4,Normal,Partially Billed,,Open,[]
SDPLDEAL-158,Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,,Completed,2025-11-01,2025-10-23,Purchase Order,2025-10-16,2025-10-31,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-11-21,SDPL/FY25-26/554,477248.4,563153.112,477248.4,563153.112,515428.272,0.0,0.0,47724.84,Normal,Fully Billed,November,Closed,[]
SDPLDEAL-159,Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,,Completed,2025-12-05,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,Others,SPECTRA,,,277470.0,327414.6,277470.0,327414.6,0.0,0.0,0.0,327414.6,Normal,Fully Billed,Dec,Open,[]
SDPLDEAL-160,Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,,Completed,2025-12-04,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,"Powerline Inspection, Videography for construction monitoring, Others",SPECTRA,,,277470.0,327414.6,277470.0,327414.6,0.0,0.0,0.0,327414.6,Normal,Not billed yet,,Open,[]
SDPLDEAL-161,Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,,Completed,2026-01-08,2025-11-21,Purchase Order,2025-11-20,2025-11-30,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,304452.416,359253.8509,0.0,0.0,0.0,304452.416,359253.8509,0.0,Normal,Partially Billed,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-162,Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,,Partial Completed,2026-01-09,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,924900.0,1091382.0,0.0,0.0,0.0,924900.0,1091382.0,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-163,Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,,Not Started,,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Mining,"Topography Survey: RGB, LiDAR Survey: LiDAR",NONE,,,141818.0,167345.24,0.0,0.0,0.0,141818.0,167345.24,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-164,Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,,Completed,2025-11-28,2025-11-27,Purchase Order,2025-11-27,2025-12-23,OWNER_001,Renewables,Topography Survey: RGB,SPECTRA,2025-12-19,SDPL/FY25-26/894,511777.963,603897.9963,511778.0123,603898.0546,552719.0068,-0.049328,-0.05820704,51179.04775,Normal,Fully Billed,November,Closed,[]
SDPLDEAL-165,Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,,Completed,2025-12-19,2025-11-28,Purchase Order,2025-11-25,2025-12-25,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,,709081.3676,836716.0138,0.0,0.0,0.0,709081.3676,836716.0138,0.0,Normal,Fully Billed,November,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-166,Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,,Completed,2025-11-07,2025-11-28,Purchase Order,2025-11-13,2025-12-03,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,SDPL/FY25-26/900,487112.7668,574793.0648,487116.0224,574796.9065,0.0,-3.255648,-3.84166464,574796.9065,Priority,Fully Billed,November,Open,[]
SDPLDEAL-167,Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,,Completed,2026-01-06,2025-12-05,Purchase Order,2025-12-11,2025-12-31,OWNER_003,Mining,Mine survey,NONE,,,1.2332,1.455176,0.0,0.0,0.0,1.2332,1.455176,0.0,Normal,Partially Billed,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-168,Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2026-01-16,OWNER_002,Powerline,Thermography,NONE,,,608584.2,718129.356,0.0,0.0,0.0,608584.2,718129.356,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-169,Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,,Not Started,,2025-12-13,Purchase Order,2025-12-13,2026-01-31,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,680726.4,803257.152,0.0,0.0,0.0,680726.4,803257.152,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-170,Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,,Completed,2026-01-06,2025-12-20,Purchase Order,2025-12-16,2026-01-31,OWNER_003,Renewables,Hydrology,NONE,,,308300.0,363794.0,0.0,0.0,0.0,308300.0,363794.0,0.0,Normal,Partially Billed,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-171,Erwin,WOCOMPANY_021,SDPLDEAL-171,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2025-12-31,OWNER_001,Mining,"Topography Survey: RGB, Raw images/videography",NONE,,,425454.0,502035.72,0.0,0.0,0.0,425454.0,502035.72,0.0,Normal,Not billed yet,,Open,[]
